configuration,lambda_mu1,K,mu2,max_k_s,max_k_f,backup,alpha_s,alpha_f,T_avg,T_var,T_wait1_avg,T_service1_avg,T_wait2_avg,T_service2_avg,load1_avg,load2_avg
Finite_Sans_Backup_Piscine_Kf_5,"[(16.6, 1.0)]",21,20.0,,5,Non,0.0%,11.2%,[1.19],[1.05],[0.28],[1.0],[0.08],[0.05],0.78,0.74
Finite_Sans_Backup_Piscine_Kf_8,"[(16.6, 1.0)]",21,20.0,,8,Non,0.0%,4.9%,[1.23],[1.04],[0.27],[1.0],[0.13],[0.05],0.78,0.78
Finite_Sans_Backup_Piscine_Kf_11,"[(16.6, 1.0)]",21,20.0,,11,Non,0.0%,2.4%,[1.25],[1.05],[0.26],[1.0],[0.16],[0.05],0.78,0.80
Finite_Sans_Backup_Piscine_Kf_14,"[(16.6, 1.0)]",21,20.0,,14,Non,0.0%,1.2%,[1.28],[1.07],[0.27],[1.0],[0.18],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_17,"[(16.6, 1.0)]",21,20.0,,17,Non,0.0%,0.8%,[1.32],[1.07],[0.3],[1.0],[0.21],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_20,"[(16.6, 1.0)]",21,20.0,,20,Non,0.0%,0.4%,[1.31],[1.07],[0.26],[1.0],[0.21],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_23,"[(16.6, 1.0)]",21,20.0,,23,Non,0.0%,0.2%,[1.33],[1.09],[0.27],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_26,"[(16.6, 1.0)]",21,20.0,,26,Non,0.0%,0.2%,[1.34],[1.11],[0.29],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_29,"[(16.6, 1.0)]",21,20.0,,29,Non,0.0%,0.1%,[1.33],[1.08],[0.25],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_32,"[(16.6, 1.0)]",21,20.0,,32,Non,0.0%,0.0%,[1.34],[1.1],[0.28],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_35,"[(16.6, 1.0)]",21,20.0,,35,Non,0.0%,0.0%,[1.35],[1.11],[0.29],[1.01],[0.23],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Kf_38,"[(16.6, 1.0)]",21,20.0,,38,Non,0.0%,0.0%,[1.34],[1.11],[0.27],[1.0],[0.24],[0.05],0.78,0.82
