configuration,lambda_mu1,K,mu2,max_k_s,max_k_f,backup,alpha_s,alpha_f,T_avg,T_var,T_wait1_avg,T_service1_avg,T_wait2_avg,T_service2_avg,load1_avg,load2_avg
Finite_Sans_Backup_Piscine_Ks_5,"[(16.6, 1.0)]",21,20.0,5,,Non,1.6%,0.0%,[1.3],[1.07],[0.2],[1.0],[0.23],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Ks_6,"[(16.6, 1.0)]",21,20.0,6,,Non,1.0%,0.0%,[1.26],[1.03],[0.19],[1.0],[0.19],[0.05],0.77,0.80
Finite_Sans_Backup_Piscine_Ks_7,"[(16.6, 1.0)]",21,20.0,7,,Non,0.8%,0.0%,[1.31],[1.09],[0.21],[1.0],[0.23],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Ks_8,"[(16.6, 1.0)]",21,20.0,8,,Non,0.9%,0.0%,[1.31],[1.06],[0.24],[1.0],[0.22],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_9,"[(16.6, 1.0)]",21,20.0,9,,Non,0.6%,0.0%,[1.31],[1.07],[0.24],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_10,"[(16.6, 1.0)]",21,20.0,10,,Non,0.4%,0.0%,[1.3],[1.07],[0.24],[1.0],[0.21],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Ks_11,"[(16.6, 1.0)]",21,20.0,11,,Non,0.3%,0.0%,[1.33],[1.11],[0.26],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_12,"[(16.6, 1.0)]",21,20.0,12,,Non,0.2%,0.0%,[1.32],[1.09],[0.25],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_13,"[(16.6, 1.0)]",21,20.0,13,,Non,0.3%,0.0%,[1.34],[1.08],[0.27],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_14,"[(16.6, 1.0)]",21,20.0,14,,Non,0.1%,0.0%,[1.32],[1.08],[0.24],[1.0],[0.23],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Ks_15,"[(16.6, 1.0)]",21,20.0,15,,Non,0.1%,0.0%,[1.32],[1.09],[0.28],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_16,"[(16.6, 1.0)]",21,20.0,16,,Non,0.1%,0.0%,[1.35],[1.1],[0.28],[1.0],[0.26],[0.05],0.78,0.83
Finite_Sans_Backup_Piscine_Ks_17,"[(16.6, 1.0)]",21,20.0,17,,Non,0.1%,0.0%,[1.35],[1.11],[0.29],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_18,"[(16.6, 1.0)]",21,20.0,18,,Non,0.1%,0.0%,[1.34],[1.12],[0.27],[1.0],[0.25],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Ks_19,"[(16.6, 1.0)]",21,20.0,19,,Non,0.0%,0.0%,[1.32],[1.09],[0.25],[1.0],[0.22],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_20,"[(16.6, 1.0)]",21,20.0,20,,Non,0.0%,0.0%,[1.37],[1.13],[0.28],[1.0],[0.27],[0.05],0.78,0.83
Finite_Sans_Backup_Piscine_Ks_21,"[(16.6, 1.0)]",21,20.0,21,,Non,0.0%,0.0%,[1.34],[1.09],[0.27],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_22,"[(16.6, 1.0)]",21,20.0,22,,Non,0.0%,0.0%,[1.33],[1.1],[0.29],[1.01],[0.22],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Ks_23,"[(16.6, 1.0)]",21,20.0,23,,Non,0.0%,0.0%,[1.34],[1.12],[0.27],[1.0],[0.24],[0.05],0.78,0.83
Finite_Sans_Backup_Piscine_Ks_24,"[(16.6, 1.0)]",21,20.0,24,,Non,0.0%,0.0%,[1.33],[1.09],[0.26],[1.0],[0.24],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_25,"[(16.6, 1.0)]",21,20.0,25,,Non,0.0%,0.0%,[1.32],[1.07],[0.23],[1.0],[0.23],[0.05],0.77,0.82
Finite_Sans_Backup_Piscine_Ks_26,"[(16.6, 1.0)]",21,20.0,26,,Non,0.0%,0.0%,[1.32],[1.08],[0.26],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_27,"[(16.6, 1.0)]",21,20.0,27,,Non,0.0%,0.0%,[1.35],[1.12],[0.3],[1.0],[0.25],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Ks_28,"[(16.6, 1.0)]",21,20.0,28,,Non,0.0%,0.0%,[1.33],[1.09],[0.27],[1.0],[0.22],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Ks_29,"[(16.6, 1.0)]",21,20.0,29,,Non,0.0%,0.0%,[1.32],[1.1],[0.24],[0.99],[0.24],[0.05],0.78,0.82
