configuration,lambda_mu1,K,mu2,max_k_s,max_k_f,backup,alpha_s,alpha_f,T_avg,T_var,T_wait1_avg,T_service1_avg,T_wait2_avg,T_service2_avg,load1_avg,load2_avg
Finite_Sans_Backup_Piscine_Prepa_60,"[(100.0, 1.0), (0.65, 0.2)]",60,20.0,150,150,Non,38.3%,155.1%,"[9.94, 9.59]","[8.7, 7.95]","[3.29, 7.14]","[1.0, 5.36]","[6.78, 6.58]","[0.05, 0.06]",0.87,0.98
Finite_Sans_Backup_Piscine_Prepa_65,"[(100.0, 1.0), (0.65, 0.2)]",65,20.0,150,150,Non,33.5%,168.6%,"[9.66, 10.05]","[8.65, 6.93]","[3.11, 6.27]","[1.01, 4.36]","[6.66, 6.82]","[0.05, 0.05]",0.90,0.99
Finite_Sans_Backup_Piscine_Prepa_70,"[(100.0, 1.0), (0.65, 0.2)]",70,20.0,150,150,Non,28.3%,191.3%,"[9.53, 10.11]","[7.63, 3.32]","[2.91, 7.08]","[1.0, 5.19]","[6.71, 7.23]","[0.05, 0.04]",0.90,0.99
Finite_Sans_Backup_Piscine_Prepa_75,"[(100.0, 1.0), (0.65, 0.2)]",75,20.0,150,150,Non,23.6%,206.6%,"[9.31, 9.41]","[7.7, 4.05]","[2.76, 6.77]","[1.0, 5.17]","[6.63, 6.82]","[0.05, 0.04]",0.86,0.98
Finite_Sans_Backup_Piscine_Prepa_80,"[(100.0, 1.0), (0.65, 0.2)]",80,20.0,150,150,Non,19.4%,229.4%,"[9.29, 9.68]","[7.72, 2.55]","[2.63, 6.14]","[1.01, 4.47]","[6.72, 7.09]","[0.05, 0.05]",0.87,0.96
Finite_Sans_Backup_Piscine_Prepa_85,"[(100.0, 1.0), (0.65, 0.2)]",85,20.0,150,150,Non,13.6%,254.6%,"[9.18, 9.97]","[7.62, 3.34]","[2.44, 6.62]","[1.0, 5.09]","[6.79, 7.27]","[0.05, 0.05]",0.87,0.97
Finite_Sans_Backup_Piscine_Prepa_90,"[(100.0, 1.0), (0.65, 0.2)]",90,20.0,150,150,Non,9.0%,273.3%,"[9.05, 9.68]","[7.4, 11.16]","[2.27, 5.65]","[1.0, 4.93]","[6.8, 6.91]","[0.05, 0.06]",0.87,0.98
Finite_Sans_Backup_Piscine_Prepa_95,"[(100.0, 1.0), (0.65, 0.2)]",95,20.0,150,150,Non,5.1%,297.3%,"[8.92, 9.69]","[7.08, 6.57]","[2.06, 5.9]","[1.0, 5.04]","[6.85, 7.26]","[0.05, 0.05]",0.84,0.97
Finite_Sans_Backup_Piscine_Prepa_100,"[(100.0, 1.0), (0.65, 0.2)]",100,20.0,150,150,Non,1.3%,312.9%,"[8.57, 9.96]","[6.58, 8.55]","[1.67, 5.02]","[1.0, 4.61]","[6.82, 7.36]","[0.05, 0.05]",0.88,0.99
Finite_Sans_Backup_Piscine_Prepa_105,"[(100.0, 1.0), (0.65, 0.2)]",105,20.0,150,150,Non,0.0%,317.1%,"[8.0, 10.17]","[5.53, 13.46]","[1.02, 3.97]","[1.0, 4.81]","[6.69, 7.21]","[0.05, 0.05]",0.85,0.98
Finite_Sans_Backup_Piscine_Prepa_110,"[(100.0, 1.0), (0.65, 0.2)]",110,20.0,150,150,Non,0.0%,321.9%,"[7.84, 12.53]","[5.16, 28.89]","[0.38, 1.8]","[1.0, 5.3]","[6.76, 6.47]","[0.05, 0.05]",0.76,0.93
Finite_Sans_Backup_Piscine_Prepa_115,"[(100.0, 1.0), (0.65, 0.2)]",115,20.0,150,150,Non,0.0%,318.5%,"[7.74, 13.15]","[4.97, 31.73]","[0.22, 1.07]","[1.0, 5.13]","[6.68, 6.7]","[0.05, 0.05]",0.78,0.97
Finite_Sans_Backup_Piscine_Prepa_120,"[(100.0, 1.0), (0.65, 0.2)]",120,20.0,150,150,Non,0.0%,315.7%,"[7.76, 12.04]","[5.25, 16.91]","[0.06, 0.27]","[1.0, 4.99]","[6.7, 6.87]","[0.05, 0.05]",0.74,0.99
Finite_Sans_Backup_Piscine_Prepa_125,"[(100.0, 1.0), (0.65, 0.2)]",125,20.0,150,150,Non,0.0%,321.1%,"[7.85, 12.72]","[5.27, 22.39]","[0.02, 0.09]","[1.0, 4.83]","[6.82, 6.82]","[0.05, 0.05]",0.70,0.97
Finite_Sans_Backup_Piscine_Prepa_130,"[(100.0, 1.0), (0.65, 0.2)]",130,20.0,150,150,Non,0.0%,325.9%,"[7.88, 13.25]","[5.39, 34.49]","[0.0, 0.0]","[1.01, 4.62]","[6.84, 6.83]","[0.05, 0.06]",0.68,0.97
Finite_Sans_Backup_Piscine_Prepa_135,"[(100.0, 1.0), (0.65, 0.2)]",135,20.0,150,150,Non,0.0%,320.4%,"[7.75, 12.58]","[4.95, 27.52]","[0.0, 0.02]","[1.0, 4.83]","[6.69, 6.71]","[0.05, 0.05]",0.65,0.98
Finite_Sans_Backup_Piscine_Prepa_140,"[(100.0, 1.0), (0.65, 0.2)]",140,20.0,150,150,Non,0.0%,319.6%,"[7.83, 13.18]","[4.55, 31.35]","[0, 0]","[1.01, 5.2]","[6.78, 6.29]","[0.05, 0.05]",0.62,0.97
Finite_Sans_Backup_Piscine_Prepa_145,"[(100.0, 1.0), (0.65, 0.2)]",145,20.0,150,150,Non,0.0%,318.7%,"[7.76, 12.69]","[4.81, 29.72]","[0, 0]","[1.0, 4.63]","[6.7, 6.62]","[0.05, 0.06]",0.61,0.98
