configuration,lambda_mu1,K,mu2,max_k_s,max_k_f,backup,alpha_s,alpha_f,T_avg,T_var,T_wait1_avg,T_service1_avg,T_wait2_avg,T_service2_avg,load1_avg,load2_avg
Infinite_Sans_Backup_Piscine_K10,"[(16.6, 1.0)]",10,20.0,,,Non,0.0%,0.0%,[101.57],[3409.84],[101.47],[1.0],[0.05],[0.05],1.00,0.50
Infinite_Sans_Backup_Piscine_K11,"[(16.6, 1.0)]",11,20.0,,,Non,0.0%,0.0%,[78.22],[2024.45],[78.11],[1.0],[0.06],[0.05],0.99,0.54
Infinite_Sans_Backup_Piscine_K12,"[(16.6, 1.0)]",12,20.0,,,Non,0.0%,0.0%,[58.28],[1110.67],[58.15],[1.0],[0.07],[0.05],0.99,0.60
Infinite_Sans_Backup_Piscine_K13,"[(16.6, 1.0)]",13,20.0,,,Non,0.0%,0.0%,[41.2],[572.68],[41.05],[1.0],[0.09],[0.05],0.99,0.65
Infinite_Sans_Backup_Piscine_K14,"[(16.6, 1.0)]",14,20.0,,,Non,0.0%,0.0%,[29.17],[300.91],[29.0],[1.0],[0.11],[0.05],0.99,0.69
Infinite_Sans_Backup_Piscine_K15,"[(16.6, 1.0)]",15,20.0,,,Non,0.0%,0.0%,[17.74],[106.27],[17.53],[1.0],[0.15],[0.05],0.99,0.74
Infinite_Sans_Backup_Piscine_K16,"[(16.6, 1.0)]",16,20.0,,,Non,0.0%,0.0%,[7.67],[25.53],[7.39],[1.0],[0.2],[0.05],0.98,0.79
Infinite_Sans_Backup_Piscine_K17,"[(16.6, 1.0)]",17,20.0,,,Non,0.0%,0.0%,[2.99],[4.51],[2.56],[1.0],[0.24],[0.05],0.96,0.82
Infinite_Sans_Backup_Piscine_K18,"[(16.6, 1.0)]",18,20.0,,,Non,0.0%,0.0%,[1.74],[1.5],[1.1],[1.0],[0.23],[0.05],0.91,0.81
Infinite_Sans_Backup_Piscine_K19,"[(16.6, 1.0)]",19,20.0,,,Non,0.0%,0.0%,[1.48],[1.22],[0.67],[1.0],[0.23],[0.05],0.87,0.82
Infinite_Sans_Backup_Piscine_K20,"[(16.6, 1.0)]",20,20.0,,,Non,0.0%,0.0%,[1.37],[1.13],[0.41],[1.0],[0.23],[0.05],0.82,0.82
Infinite_Sans_Backup_Piscine_K21,"[(16.6, 1.0)]",21,20.0,,,Non,0.0%,0.0%,[1.34],[1.11],[0.28],[1.0],[0.24],[0.05],0.78,0.82
Infinite_Sans_Backup_Piscine_K22,"[(16.6, 1.0)]",22,20.0,,,Non,0.0%,0.0%,[1.32],[1.1],[0.19],[1.0],[0.24],[0.05],0.75,0.82
Infinite_Sans_Backup_Piscine_K23,"[(16.6, 1.0)]",23,20.0,,,Non,0.0%,0.0%,[1.32],[1.09],[0.12],[1.0],[0.25],[0.05],0.72,0.83
Infinite_Sans_Backup_Piscine_K24,"[(16.6, 1.0)]",24,20.0,,,Non,0.0%,0.0%,[1.29],[1.08],[0.06],[1.0],[0.23],[0.05],0.69,0.82
Infinite_Sans_Backup_Piscine_K25,"[(16.6, 1.0)]",25,20.0,,,Non,0.0%,0.0%,[1.28],[1.07],[0.04],[1.0],[0.23],[0.05],0.65,0.82
Infinite_Sans_Backup_Piscine_K26,"[(16.6, 1.0)]",26,20.0,,,Non,0.0%,0.0%,[1.28],[1.07],[0.02],[1.0],[0.23],[0.05],0.63,0.82
